Date,Type de transaction,Texte de notification
10/6/2025,Enregistrement comptable,ACHAT/SERVICE DU 10.06.2025 CARTE NO XXXX6273 BREAD STORE LAUSANNE (CH)
10/6/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 10.06.2025 POUR NUMERO MOBILE. +41762954600 , SINAN"
9/6/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 09.06.2025 POUR NUMERO MOBILE. +41774236792 , RAPHAËLLE"
8/6/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.06.2025 CARTE N° XXXX6273 INFOMANIAK.COM INTERNET
7/6/2025,Enregistrement comptable,ACHAT/SERVICE DU 07.06.2025 CARTE NO XXXX6273 COOP-5386 LS BEL AIR FOOBY LAUSANNE (CH)
6/6/2025,Enregistrement comptable,ACHAT/SERVICE DU 06.06.2025 CARTE NO XXXX6273 BREAD STORE LAUSANNE (CH)
5/6/2025,Enregistrement comptable,ACHAT/SERVICE DU 05.06.2025 CARTE NO XXXX6273 M MIGROS DU SILO RENENS VD (CH)
5/6/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.06.2025 USD 20.00 AU COURS DE 0.8347 MONTANT DANS LA MONNAIE DU COMPTE 16.69 1.5% FRAIS DE TRAITEMENT 0.25 CARTE N° XXXX6273 CLAUDE.AI SUBSCRIPTION SAN FRANCISCO
4/6/2025,Enregistrement comptable,ACHAT/SERVICE DU 04.06.2025 CARTE NO XXXX6273 POULY SA 4584 LAUSANNE (CH)
2/6/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.06.2025 USD 20.00 AU COURS DE 0.8340 MONTANT DANS LA MONNAIE DU COMPTE 16.68 1.5% FRAIS DE TRAITEMENT 0.25 CARTE N° XXXX6273 ANTHROPIC SAN FRANCISCO
2/6/2025,Enregistrement comptable,ACHAT/SERVICE DU 02.06.2025 CARTE NO XXXX6273 M MIGROS DU SILO RENENS VD (CH)
2/6/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.06.2025 CARTE N° XXXX6273 INFOMANIAK.COM INTERNET
5/30/2025,Enregistrement comptable,ACHAT/SERVICE DU 30.05.2025 CARTE NO XXXX6273 BREAD STORE LAUSANNE (CH)
5/30/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 30.05.2025 ASSOCIATION PETZI FRIBOURG (CH)
5/30/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 30.05.2025 POUR NUMERO MOBILE. +41774236792 , RAPHAËLLE COMMUNICATIONS: EMOJI"
5/28/2025,Enregistrement comptable,ACHAT/SERVICE DU 28.05.2025 CARTE NO XXXX6273 POULY SA 4584 LAUSANNE (CH)
5/27/2025,Enregistrement comptable,ACHAT/SERVICE DU 27.05.2025 CARTE NO XXXX6273 BREAD STORE LAUSANNE (CH)
5/26/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 26.05.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250526091754029216AC NUMERO DE COMMANDE 140054329350
5/26/2025,Enregistrement comptable,ACHAT/SERVICE DU 26.05.2025 CARTE NO XXXX6273 OBI RENENS RENENS (CH)
5/25/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 25.05.2025 POUR NUMERO MOBILE. +41774236792 , RAPHAËLLE"
5/25/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 25.05.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250525173912318960AC NUMERO DE COMMANDE 139990914370
5/24/2025,Enregistrement comptable,ACHAT/SERVICE DU 24.05.2025 CARTE NO XXXX6273 COOP PRONTO AG RENENS RENENS VD (CH) MARCHANDISES 3.50
5/23/2025,Enregistrement comptable,ACHAT/SERVICE DU 23.05.2025 CARTE NO XXXX6273 BREAD STORE LAUSANNE (CH)
5/22/2025,Enregistrement comptable,ACHAT/SERVICE DU 22.05.2025 CARTE NO XXXX6273 OBI RENENS RENENS (CH)
5/13/2025,Enregistrement comptable,ACHAT/SERVICE DU 13.05.2025 CARTE NO XXXX6273 BREAD STORE LAUSANNE (CH)
8/5/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.05.2025 CARTE N° XXXX6273 INFOMANIAK.COM INTERNET
6/5/2025,Enregistrement comptable,ACHAT/SERVICE DU 06.05.2025 CARTE NO XXXX6273 BREAD STORE LAUSANNE (CH)
5/5/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.05.2025 USD 20.00 AU COURS DE 0.8378 MONTANT DANS LA MONNAIE DU COMPTE 16.76 1.5% FRAIS DE TRAITEMENT 0.25 CARTE N° XXXX6273 CLAUDE.AI SUBSCRIPTION SAN FRANCISCO
5/5/2025,Enregistrement comptable,ACHAT/SERVICE DU 05.05.2025 CARTE NO XXXX6273 M MIGROS DU SILO RENENS VD (CH)
5/5/2025,Enregistrement comptable,ACHAT/SERVICE DU 05.05.2025 CARTE NO XXXX6273 LS PIQUENIQUE LAUSANNE (CH)
3/5/2025,Enregistrement comptable,ACHAT/SERVICE DU 03.05.2025 CARTE NO XXXX6273 MANOR AG - 711 (LAUS) LAUSANNE (CH)
2/5/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.05.2025 CARTE N° XXXX6273 INFOMANIAK.COM INTERNET
2/5/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 02.05.2025 HONG THAI RUNG - STATION R ECUBLENS VD (CH)
4/29/2025,Enregistrement comptable,ACHAT/SERVICE DU 29.04.2025 CARTE NO XXXX6273 MIGROS CLOSELET LAUSANNE (CH)
4/28/2025,Enregistrement comptable,ACHAT/SERVICE DU 28.04.2025 CARTE NO XXXX6273 CHOCOLATERIE WUTHRICH SA LAUSANNE (CH)
4/22/2025,Enregistrement comptable,DÉBIT BANQUE CANTONALE VAUDOISE ST-FRANÇOIS 1001 LAUSANNE CH1000767000T55442096 NATHAN MONARD 3920 ZERMATT REFERENCE DE L'EXPEDITEUR: 20250418000800597029653
4/15/2025,Enregistrement comptable,ACHAT/SERVICE DU 15.04.2025 CARTE NO XXXX6273 COOP-5931 LUGANO CITY K. LUGANO (CH)
4/15/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 15.04.2025 LAC SHOP LUGANO (CH)
4/14/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 14.04.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250414173623464713AC NUMERO DE COMMANDE 135039882504
4/14/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 14.04.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD (CH)
4/14/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 14.04.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD (CH)
4/14/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 14.04.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250414124049134543 NUMERO DE COMMANDE 135007982069
4/14/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 14.04.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250414123741753525AC NUMERO DE COMMANDE 135008081833
4/13/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 13.04.2025 CASA PAGANINI RÈ BELLINZONA (CH)
11/4/2025,Enregistrement comptable,ACHAT/SERVICE DU 11.04.2025 CARTE NO XXXX6273 KKIOSK LAUSANNE CFF EST 29144 LAUSANNE (CH)
11/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 11.04.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250411114812204695AC NUMERO DE COMMANDE 134640675908
11/4/2025,Enregistrement comptable,DÉBIT CH7609000000150512514 META ASSOCIATION META C/O JOËLLE AESCHLI 1020 RENENS REFERENCE DE L'EXPEDITEUR: 20250410000800433734465
10/4/2025,Enregistrement comptable,ACHAT/SERVICE DU 10.04.2025 CARTE NO XXXX6273 M MIGROS DU SILO RENENS VD (CH)
8/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.04.2025 USD 59.00 AU COURS DE 0.8718 MONTANT DANS LA MONNAIE DU COMPTE 51.44 1.5% FRAIS DE TRAITEMENT 0.77 CARTE N° XXXX6273 WIRELESS P* WIRELESS P WINNIPEG
8/4/2025,Enregistrement comptable,ACHAT/SERVICE DU 08.04.2025 CARTE NO XXXX6273 M MIGROS DU SILO RENENS VD (CH)
8/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.04.2025 CARTE N° XXXX6273 INFOMANIAK.COM INTERNET
6/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 06.04.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250406121329754480AC NUMERO DE COMMANDE 134043575410
5/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.04.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250405180646134051AC NUMERO DE COMMANDE 133969275201
5/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.04.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250405162255363356AC NUMERO DE COMMANDE 133956875411
5/4/2025,Enregistrement comptable,ACHAT/SERVICE DU 05.04.2025 CARTE NO XXXX6273 TIBITS LAUSANNE LAUSANNE (CH)
5/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.04.2025 USD 20.00 AU COURS DE 0.8668 MONTANT DANS LA MONNAIE DU COMPTE 17.34 1.5% FRAIS DE TRAITEMENT 0.26 CARTE N° XXXX6273 CLAUDE.AI SUBSCRIPTION SAN FRANCISCO
5/4/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 05.04.2025 FLEUR DE PAINS EPALINGES (CH)
5/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.04.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250405111529044175AC NUMERO DE COMMANDE 133921775325
5/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.04.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250405093403544031AC NUMERO DE COMMANDE 133908177865
4/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 04.04.2025 MONTANT DANS LA MONNAIE DU COMPTE 175.31 1.5% FRAIS DE TRAITEMENT 2.63 CARTE N° XXXX6273 LOW LEVEL ACADEMY GROVETOWN
3/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 03.04.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250403205203054085AC NUMERO DE COMMANDE 133737075532
3/4/2025,Enregistrement comptable,ACHAT/SERVICE DU 03.04.2025 CARTE NO XXXX6273 ZYMI SARL LAUSANNE (CH)
3/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 03.04.2025 CARTE N° XXXX6273 UPS CH BASEL
2/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.04.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250402172547338948AC NUMERO DE COMMANDE 133592375333
2/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.04.2025 USD 0.18 AU COURS DE 0.8943 CARTE N° XXXX6273 AWS EMEA AWS.AMAZON.CO
2/4/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.04.2025 CARTE N° XXXX6273 INFOMANIAK.COM INTERNET
2/4/2025,Enregistrement comptable,ACHAT/SERVICE DU 02.04.2025 CARTE NO XXXX6273 POULY SA 4584 LAUSANNE (CH)
2/4/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 02.04.2025 DIGITEC GALAXUS ZÜRICH (CH)
1/4/2025,Enregistrement comptable,"PAIEMENT INTERNATIONAL (SEPA) EUR 223.03 AU COURS DE 0.9669 WISE EUROPE S.A FLOOR 3RUE DU TRONE 100 1050 BRUSSELS BE20967029526156 FASTSEAL - UNIPESSOAL LDA RUE DU TRÔNE 100, 3RD FLOOR 1050 BRUSSELS REFERENCE DE L'EXPEDITEUR: 20250331000800154621282"
3/31/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 31.03.2025 M MIGROS DU SILO RENENS VD (CH)
3/31/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 31.03.2025 DIGITEC GALAXUS ZÜRICH (CH)
3/30/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 30.03.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250330110505743239AC NUMERO DE COMMANDE 133193575480
3/29/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 29.03.2025 AUX MERVEILLEUX DE FRED LAUSANNE (CH)
3/26/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 26.03.2025 ZYMI SARL LAUSANNE (CH)
3/26/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 26.03.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250326095519003604AC NUMERO DE COMMANDE 132707475918
3/24/2025,Enregistrement comptable,ACHAT/SERVICE DU 24.03.2025 CARTE NO XXXX6273 M MIGROS DU SILO RENENS VD (CH)
3/22/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 22.03.2025 DIGITEC GALAXUS ZÜRICH (CH)
3/22/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 22.03.2025 CHOCOLATERIE WUTHRICH SA LAUSANNE (CH)
3/22/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 22.03.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250322100808958255AC NUMERO DE COMMANDE 132241875671
3/21/2025,Enregistrement comptable,ACHAT/SERVICE DU 21.03.2025 CARTE NO XXXX6273 SUMUP **CLASSIC FOOD C LAUSANNE (CH)
3/21/2025,Enregistrement comptable,DÉBIT CH6030000001100260003 CAISSE CANTONALE VAUDOISE DE COMPEN SATION AVS RUE DES MOULINS 3 1800 VEVEY REFERENCE DE L'EXPEDITEUR: 20250320000800849328142
3/20/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 20.03.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250320165415238672AC NUMERO DE COMMANDE 132018275900
3/20/2025,Enregistrement comptable,ACHAT/SERVICE DU 20.03.2025 CARTE NO XXXX6273 LS IL FORNO LAUSANNE LAUSANNE (CH)
3/20/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 20.03.2025 IFOLOR SWITZERLAND KREUZLINGEN (CH)
3/14/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 14.03.2025 POUR NUMERO MOBILE. +41793695620 , ELLIOT"
12/3/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 12.03.2025 CJ HAIR LAUSANNE (CH)
11/3/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 11.03.2025 POUR NUMERO MOBILE. +41799348929 , FABRICE"
9/3/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 09.03.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250309115022083224AC NUMERO DE COMMANDE 130596656413
8/3/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.03.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250308100411953362AC NUMERO DE COMMANDE 130465156129
8/3/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.03.2025 CARTE N° XXXX6273 INFOMANIAK.COM INTERNET
5/3/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.03.2025 USD 20.00 AU COURS DE 0.9071 MONTANT DANS LA MONNAIE DU COMPTE 18.14 1.5% FRAIS DE TRAITEMENT 0.27 CARTE N° XXXX6273 CLAUDE.AI SUBSCRIPTION PASADENA
5/3/2025,Enregistrement comptable,ACHAT/SERVICE DU 05.03.2025 CARTE NO XXXX6273 MANOR AG - 711 (LAUS) LAUSANNE (CH)
4/3/2025,Enregistrement comptable,ACHAT/SERVICE DU 04.03.2025 CARTE NO XXXX6273 M MIGROS DU SILO RENENS VD (CH)
3/3/2025,Enregistrement comptable,ACHAT/SERVICE DU 03.03.2025 CARTE NO XXXX6273 M MIGROS DU SILO RENENS VD (CH)
2/3/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.03.2025 USD 0.98 AU COURS DE 0.9135 CARTE N° XXXX6273 AWS EMEA AWS.AMAZON.CO
2/3/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.03.2025 CARTE N° XXXX6273 INFOMANIAK.COM INTERNET
2/3/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.03.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250302140006593513AC NUMERO DE COMMANDE 129755556450
1/3/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 01.03.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250301194130634892AC NUMERO DE COMMANDE 129676556097
1/3/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 01.03.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250301141508604528AC NUMERO DE COMMANDE 129638056039
1/3/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 01.03.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250301122315674899AC NUMERO DE COMMANDE 129623656301
2/27/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 27.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250227175839584329AC NUMERO DE COMMANDE 129412256434
2/27/2025,Enregistrement comptable,ACHAT/SERVICE DU 27.02.2025 CARTE NO XXXX6273 LS PIQUENIQUE LAUSANNE (CH)
2/27/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 27.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250227084334299486AC NUMERO DE COMMANDE 129346756292
2/25/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 25.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250225184821808090AC NUMERO DE COMMANDE 129166156311
2/25/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 25.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250225080438303798AC NUMERO DE COMMANDE 129091556863
2/24/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 24.02.2025 M MIGROS DU SILO RENENS VD (CH)
2/23/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 23.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250223160713063795AC NUMERO DE COMMANDE 128899956121
2/22/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 22.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250222171650254907AC NUMERO DE COMMANDE 128788156022
2/18/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 18.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250218180632069522AC NUMERO DE COMMANDE 128289156592
2/18/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 18.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250218123406013569AC NUMERO DE COMMANDE 128249956019
2/18/2025,Enregistrement comptable,ACHAT/SERVICE DU 18.02.2025 CARTE NO XXXX6273 ZYMI SARL LAUSANNE (CH)
2/17/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 17.02.2025 PLANET BOWL RENENS RENENS (CH)
2/16/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 16.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250216114441893979AC NUMERO DE COMMANDE 127996649644
2/16/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 16.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250216100003733199AC NUMERO DE COMMANDE 127984850338
2/15/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 15.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250215130647114652AC NUMERO DE COMMANDE 127886449715
2/15/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 15.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250215063046324558AC NUMERO DE COMMANDE 127842049725
2/14/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 14.02.2025 CARTE N° XXXX6273 ZC* Z-QASTI LAUSANNE LAUSANNE
2/13/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 13.02.2025 BK 2380 LAUSANNE FLON TL LAUSANNE
2/13/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 13.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250213190345153423AC NUMERO DE COMMANDE 127670049713
2/13/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 13.02.2025 M MIGROS DU SILO RENENS VD
2/13/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 13.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250213090354293080AC NUMERO DE COMMANDE 127601050330
11/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 11.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250211184405983650AC NUMERO DE COMMANDE 127416650120
11/2/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 11.02.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD
11/2/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 11.02.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD
11/2/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 11.02.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD
11/2/2025,Enregistrement comptable,ACHAT/SERVICE DU 11.02.2025 CARTE NO XXXX6273 LS PIQUENIQUE LAUSANNE (CH)
11/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 11.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250211085446288274AC NUMERO DE COMMANDE 127350649684
11/2/2025,Enregistrement comptable,DÉBIT UBS SWITZERLAND AG (FORMERLY CREDIT SUISSE) BAHNHOFSTRASSE 45 8001 ZÜRICH CH4231000167777581000 DIGITEC GALAXUS AG PFINGSTWEIDSTRASSE 60B 8005 ZÜRICH REFERENCE DE L'EXPEDITEUR: 20250210000800823679198
9/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 09.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250209135922679564AC NUMERO DE COMMANDE 127136043390
8/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.02.2025 CARTE N° XXXX6273 INFOMANIAK.COM INTERNET
7/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 07.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250207175347244272AC NUMERO DE COMMANDE 126914043398
6/2/2025,Enregistrement comptable,ACHAT/SERVICE DU 06.02.2025 CARTE NO XXXX6273 COOP-4605 LAUSANNE CAROLINE R. LAUSANNE (CH)
5/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250205204036954411AC NUMERO DE COMMANDE 126616343258
5/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.02.2025 USD 20.00 AU COURS DE 0.9237 MONTANT DANS LA MONNAIE DU COMPTE 18.47 1.5% FRAIS DE TRAITEMENT 0.28 CARTE N° XXXX6273 CLAUDE.AI SUBSCRIPTION SAN FRANCISCO
5/2/2025,Enregistrement comptable,ACHAT/SERVICE DU 05.02.2025 CARTE NO XXXX6273 LS IL FORNO LAUSANNE LAUSANNE (CH)
5/2/2025,Enregistrement comptable,DÉBIT UBS SWITZERLAND AG (FORMERLY CREDIT SUISSE) BAHNHOFSTRASSE 45 8001 ZÜRICH CH7631000170866351000 SIE SA CHEMIN DE LA GOTTRAUSE 11 1023 CRISSIER REFERENCE DE L'EXPEDITEUR: 20250204000800671907366
4/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 04.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250204181831303942AC NUMERO DE COMMANDE 126465643317
4/2/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 04.02.2025 M MIGROS DU SILO RENENS VD
4/2/2025,Enregistrement comptable,ACHAT/SERVICE DU 04.02.2025 CARTE NO XXXX6273 HIMALAYA RENENS VD (CH)
4/2/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 04.02.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD
4/2/2025,Enregistrement comptable,ACHAT/SERVICE DU 04.02.2025 CARTE NO XXXX6273 LS PIQUENIQUE LAUSANNE (CH)
4/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 04.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250204084110259470AC NUMERO DE COMMANDE 126394843283
2/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250202210040413301AC NUMERO DE COMMANDE 126224937032
2/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250202175704173758AC NUMERO DE COMMANDE 126207937257
2/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250202142830114124AC NUMERO DE COMMANDE 126182837224
2/2/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.02.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250202073940993979AC NUMERO DE COMMANDE 126138936951
1/31/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 31.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250131174640964899AC NUMERO DE COMMANDE 125953637480
1/31/2025,Enregistrement comptable,ACHAT/SERVICE DU 31.01.2025 CARTE NO XXXX6273 ZYMI SARL LAUSANNE (CH)
1/30/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 30.01.2025 CARTE N° XXXX6273 SBB TICKET SHOP N/A ID PAIEMENT 250130181159853669AC NUMERO DE COMMANDE 125828936820
1/30/2025,Enregistrement comptable,ACHAT/SERVICE DU 30.01.2025 CARTE NO XXXX6273 LS PIQUENIQUE LAUSANNE (CH)
